llm,input_source,layer,prompt_type,comparison_source,cosine_similarity,adherence_score_openai,adherence_score_anthropic
deepseek,no_source,7,complex_no_source,transcript,0.6512160301208496,0.65,0.65
google,no_source,1,complex_no_source,script,0.42781195044517517,0.88,0.82
google,no_source,1,complex_no_source,tanenbaum,0.568699836730957,0.96,0.95
google,no_source,1,complex_no_source,transcript,0.393574595451355,0.92,0.65
google,no_source,2,complex_no_source,script,0.73198401927948,0.94,0.95
google,no_source,2,complex_no_source,tanenbaum,0.7296103239059448,0.97,0.85
google,no_source,2,complex_no_source,transcript,0.7047844529151917,1.0,0.6
google,no_source,3,complex_no_source,script,0.6112580895423889,0.84,0.7
google,no_source,3,complex_no_source,tanenbaum,0.7671648263931274,0.66,0.75
google,no_source,3,complex_no_source,transcript,0.8032675981521606,0.56,0.6
google,no_source,4,complex_no_source,script,0.37572744488716125,0.92,0.7
google,no_source,4,complex_no_source,tanenbaum,0.8239820003509521,0.85,0.7
google,no_source,4,complex_no_source,transcript,0.8844864368438721,0.97,0.85
google,no_source,5,complex_no_source,script,0.5556674003601074,1.0,0.85
google,no_source,5,complex_no_source,tanenbaum,0.5628530383110046,0.98,0.95
google,no_source,5,complex_no_source,transcript,0.6066203117370605,1.0,0.85
google,no_source,6,complex_no_source,script,0.6627060174942017,0.96,1.0
google,no_source,6,complex_no_source,tanenbaum,0.5135483741760254,0.8,0.7
google,no_source,6,complex_no_source,transcript,0.6806623935699463,0.96,0.95
google,no_source,7,complex_no_source,script,0.5842350125312805,0.95,0.85
google,no_source,7,complex_no_source,tanenbaum,0.6355808973312378,0.92,0.65
google,no_source,7,complex_no_source,transcript,0.7049640417098999,0.96,0.85
openai,no_source,1,complex_no_source,script,0.3913939893245697,0.65,0.7
openai,no_source,1,complex_no_source,tanenbaum,0.4625890552997589,0.88,0.85
openai,no_source,1,complex_no_source,transcript,0.3779776692390442,0.88,0.4
openai,no_source,2,complex_no_source,script,0.5453343391418457,0.88,0.6
openai,no_source,2,complex_no_source,tanenbaum,0.5900344848632812,0.45,0.4
openai,no_source,2,complex_no_source,transcript,0.4763517379760742,0.45,0.3
openai,no_source,3,complex_no_source,script,0.6023843288421631,0.97,0.8
openai,no_source,3,complex_no_source,tanenbaum,0.40350061655044556,1.0,0.9
openai,no_source,3,complex_no_source,transcript,0.3103685975074768,0.9,0.7
openai,no_source,4,complex_no_source,script,0.5779833793640137,0.9,0.7
openai,no_source,4,complex_no_source,tanenbaum,0.3857828378677368,0.55,0.6
openai,no_source,4,complex_no_source,transcript,0.3779330849647522,0.93,0.75
openai,no_source,5,complex_no_source,script,0.47399088740348816,0.68,0.4
openai,no_source,5,complex_no_source,tanenbaum,0.45553290843963623,0.96,0.9
openai,no_source,5,complex_no_source,transcript,0.4102901816368103,0.57,0.45
openai,no_source,6,complex_no_source,script,0.6467114090919495,1.0,0.9
openai,no_source,6,complex_no_source,tanenbaum,0.5820866823196411,0.65,0.85
openai,no_source,6,complex_no_source,transcript,0.6181895136833191,1.0,0.95
openai,no_source,7,complex_no_source,script,0.5923390984535217,0.88,0.9
openai,no_source,7,complex_no_source,tanenbaum,0.34065955877304077,0.9,0.4
openai,no_source,7,complex_no_source,transcript,0.4958609342575073,0.91,0.7
